		OP_NONE
		OP_EXIT
		OP_VALUE
		OP_IF
		OP_JUMP
		OP_FOR
		OP_FOR_FROM
		OP_FOR_TO
		OP_FOR_STEP
		OP_FOR_CHECK
		OP_FOR_INCJMP
		OP_END_FOR
		OP_SWITCH
		OP_CASE
		OP_ENDSWITCH
		OP_FUNC
		OP_MACRO
		OP_RETURN_FUNC
		OP_RETURN_MACRO
		OP_STRUCT
		OP_MEMBER
		OP_END_STRUCT
		OP_CALL_MEMBER
set		OP_SET
call	OP_CALL
addr	OP_ADDR
ref		OP_REF
+		OP_ADD
-		OP_SUB
*		OP_MUL
/		OP_DIV
%		OP_MOD
u/		OP_UDIV
u%		OP_UMOD
0-		OP_NEG
++		OP_INC
--		OP_DEC
=		OP_EQU
!=		OP_NEQ
>		OP_GRT
>=		OP_GEQ
<		OP_LST
<=		OP_LEQ
u>		OP_UGRT
u>=		OP_UGEQ
u<		OP_ULST
u<=		OP_ULEQ
f+		OP_FADD
f-		OP_FSUB
f*		OP_FMUL
f/		OP_FDIV
f%		OP_FMOD
f0-		OP_FNEG
f=		OP_FEQU
f!=		OP_FNEQ
f>		OP_FGRT
f>=		OP_FGEQ
f<		OP_FLST
f<=		OP_FLEQ
&		OP_AND
|		OP_OR
^		OP_XOR
~		OP_NOT
<<		OP_LSFT
>>		OP_RSFT
drop	OP_DROP
nip		OP_NIP
dup		OP_DUP
over	OP_OVER
tuck	OP_TUCK
swap	OP_SWAP
rot		OP_ROT
2drop	OP_TDROP
2nip	OP_TNIP
2dup	OP_TDUP
2over	OP_TOVER
2tuck	OP_TTUCK
2swap	OP_TSWAP
2rot	OP_TROT
alloc	OP_ALLOC
resize	OP_RESIZE
free	OP_FREE
fetch	OP_FETCH
store	OP_STORE
s>f		OP_STOF
u>f		OP_UTOF
f>s		OP_FTOS
f>u		OP_FTOU
geti	OP_GETI
getu	OP_GETU
getf	OP_GETF
gets	OP_GETS
putc	OP_PUTC
puti	OP_PUTI
putu	OP_PUTU
putf	OP_PUTF
show	OP_SHOW
